n,runtime
10,0.000058
49,0.000543
88,0.001740
127,0.004539
166,0.007943
205,0.013098
244,0.016615
283,0.019632
322,0.026073
361,0.030423
400,0.039303
439,0.047367
478,0.063565
517,0.067156
556,0.082006
595,0.091168
634,0.103400
673,0.110850
712,0.128654
751,0.142479
790,0.156201
829,0.173807
868,0.215682
907,0.218159
946,0.227928
985,0.250827
1024,0.271406
1063,0.296672
1102,0.306316
1141,0.328793
1180,0.365761
1219,0.393517
1258,0.432489
1297,0.455536
1336,0.479606
1375,0.501958
1414,0.537463
1453,0.566614
1492,0.600536
1531,0.633955
1570,0.669572
1609,0.691039
1648,0.717950
1687,0.766602
1726,0.772070
1765,0.820925
1804,0.863486
1843,0.916207
1882,0.949920
1921,0.971089
1960,0.991569
1999,1.011714
